City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,Tanhacu,BR,2022-01-31 18:59:45,-14.0214,-41.2481,86.54,51,11,5.64
150,Barrow,US,2022-01-31 18:59:46,71.2906,-156.7887,-12.08,98,99,7.4
151,Port-Gentil,GA,2022-01-31 18:59:46,-0.7193,8.7815,80.83,81,28,10.36
152,Gandhinagar,IN,2022-01-31 18:59:46,23.2167,72.6833,67.98,73,0,0.0
153,Svetlyy,RU,2022-01-31 18:59:47,54.675,20.1347,33.85,63,100,13.4
154,Haines Junction,CA,2022-01-31 18:59:47,60.7522,-137.5108,-32.85,75,96,2.3
155,Atar,MR,2022-01-31 18:59:48,20.5169,-13.0499,89.65,15,100,4.61
156,Airai,TL,2022-01-31 18:59:48,-8.9266,125.4092,60.04,88,98,4.59
157,Gejiu,CN,2022-01-31 18:59:49,23.306,103.1635,37.6,96,100,4.03
158,San Andres,CO,2022-01-31 18:59:49,12.5847,-81.7006,80.62,78,75,11.5
159,Bom Jesus,BR,2022-01-31 18:59:50,-9.0744,-44.3586,87.58,53,65,3.42
160,Saint George,US,2022-01-31 18:56:32,37.1041,-113.5841,62.55,25,93,1.32
161,Turan,VN,2022-01-31 18:57:54,16.0678,108.2208,67.98,77,75,5.75
162,Khilok,RU,2022-01-31 18:59:51,51.3674,110.4676,-6.75,99,100,2.53
163,Alofi,NU,2022-01-31 18:59:51,-19.0595,-169.9187,67.89,100,40,0.0
164,East London,ZA,2022-01-31 18:59:52,-33.0153,27.9116,74.34,88,0,2.3
165,Saint-Leu,RE,2022-01-31 18:59:52,-21.15,55.2833,79.66,77,56,14.99
166,Mackenzie,CA,2022-01-31 18:59:52,55.2999,-123.1698,7.02,72,100,2.3
167,Bagotville,AU,2022-01-31 18:59:53,-28.9833,153.4167,72.64,94,9,4.25
168,Kedrovoye,RU,2022-01-31 18:59:53,57.1576,60.5698,13.44,100,90,2.75
169,Russkaya Polyana,UA,2022-01-31 18:59:54,49.417,31.9201,28.76,85,43,15.7
170,Rock Sound,BS,2022-01-31 18:59:54,24.9,-76.2,67.69,55,9,13.91
171,Codrington,AU,2022-01-31 18:59:55,-38.2667,141.9667,60.13,96,17,9.89
172,Bardiyah,LY,2022-01-31 18:59:55,31.7561,25.0865,55.49,70,9,10.2
173,Rawson,AR,2022-01-31 18:59:55,-43.3002,-65.1023,73.85,25,100,8.12
174,Bandarbeyla,SO,2022-01-31 18:59:56,9.4942,50.8122,76.96,78,41,16.55
175,Oregon City,US,2022-01-31 18:59:57,45.3573,-122.6068,45.43,86,100,5.01
176,Storsteinnes,NO,2022-01-31 18:59:57,69.2408,19.2344,26.6,82,100,5.32
177,Fez,MA,2022-01-31 18:58:19,34.0372,-4.9998,64.65,29,0,3.44
178,Linkou,CN,2022-01-31 19:00:58,45.3,130.2833,-11.61,100,59,2.35
179,Opunake,NZ,2022-01-31 19:00:58,-39.4556,173.8583,67.84,77,100,2.77
180,Sangar,RU,2022-01-31 19:00:59,63.9242,127.4739,-35.77,100,100,1.03
181,La Ronge,CA,2022-01-31 19:00:59,55.1001,-105.2842,10.62,85,100,6.91
182,Nishihara,JP,2022-01-31 19:01:00,26.1842,127.7558,58.28,67,100,6.91
183,Nguru,NG,2022-01-31 19:01:00,12.8791,10.4526,68.05,17,5,10.65
184,Harrisburg,US,2022-01-31 19:01:01,40.2737,-76.8844,35.17,51,100,5.01
185,Dharchula,IN,2022-01-31 19:01:01,29.85,80.5333,44.8,67,56,4.9
186,Sinnamary,GF,2022-01-31 19:01:02,5.3833,-52.95,79.5,79,100,10.2
187,Liwale,TZ,2022-01-31 19:01:02,-9.7667,37.9333,70.39,98,100,2.51
188,Arman,RU,2022-01-31 19:01:03,59.7,150.1667,3.79,79,98,13.69
189,Aden,YE,2022-01-31 19:01:03,12.7794,45.0367,77.59,70,100,11.25
190,Tual,ID,2022-01-31 19:01:04,-5.6667,132.75,83.84,76,100,21.77
191,Puerto Lempira,HN,2022-01-31 19:01:04,15.2667,-83.7667,77.43,58,70,10.96
192,Ulaanbaatar,MN,2022-01-31 18:57:28,47.9077,106.8832,-27.27,68,0,2.24
193,Debre Tabor,ET,2022-01-31 19:01:05,11.85,38.0167,54.27,59,60,2.89
194,Wad Madani,SD,2022-01-31 19:01:06,14.4012,33.5199,69.24,16,1,11.65
195,High Level,CA,2022-01-31 19:01:02,58.5169,-117.136,-5.84,87,93,7.16
196,Faanui,PF,2022-01-31 19:01:06,-16.4833,-151.75,80.4,73,0,18.77
197,Maneadero,MX,2022-01-31 19:01:07,31.7167,-116.5667,67.19,58,75,5.12
198,Nouakchott,MR,2022-01-31 19:01:07,18.0858,-15.9785,71.53,32,100,9.28
199,Rivadavia,AR,2022-01-31 19:01:08,-33.1905,-68.4608,84.97,17,0,6.24
200,Sisimiut,GL,2022-01-31 19:01:08,66.9395,-53.6735,9.68,86,100,10.87
201,La Asuncion,VE,2022-01-31 19:01:09,11.0333,-63.8628,80.62,69,79,13.98
202,Longyearbyen,SJ,2022-01-31 19:01:09,78.2186,15.6401,10.24,72,75,4.61
203,Xiaoweizhai,CN,2022-01-31 19:01:10,26.1903,107.5125,33.73,96,100,4.29
204,Esperance,AU,2022-01-31 19:01:10,-33.8667,121.9,61.81,57,100,15.55
205,Bengkulu,ID,2022-01-31 19:01:11,-3.8004,102.2655,76.14,86,100,4.14
206,Mulege,MX,2022-01-31 19:01:12,26.8833,-111.9833,70.45,25,92,8.01
207,La Rioja,ES,2022-01-31 19:01:12,42.25,-2.5,41.31,89,100,11.5
208,Kaeo,NZ,2022-01-31 19:01:12,-35.1,173.7833,70.32,94,100,14.54
209,Sembakung,ID,2022-01-31 19:01:13,3.8167,117.25,72.23,99,100,1.72
210,Chokurdakh,RU,2022-01-31 19:01:13,70.6333,147.9167,-22.22,99,100,1.39
211,Yagodnoye,RU,2022-01-31 19:01:14,62.55,149.6667,-3.78,99,100,4.12
212,Pevek,RU,2022-01-31 19:01:14,69.7008,170.3133,-20.0,99,100,1.81
213,Evensk,RU,2022-01-31 19:01:15,61.95,159.2333,18.0,82,100,22.39
214,Tura,IN,2022-01-31 19:01:15,25.5198,90.2201,54.0,62,0,3.91
215,Oni,GE,2022-01-31 19:01:16,42.5794,43.4425,34.65,96,100,2.39
216,Zaysan,KZ,2022-01-31 19:01:16,47.4667,84.8667,2.14,87,94,3.56
217,Baykit,RU,2022-01-31 19:01:17,61.67,96.37,-4.04,100,100,1.01
218,Rebrikha,RU,2022-01-31 19:01:17,53.0733,82.3408,14.23,96,100,6.85
219,Korla,CN,2022-01-31 19:00:29,41.7597,86.1469,24.3,53,100,3.02
220,Camacha,PT,2022-01-31 19:01:19,33.0833,-16.3333,63.54,82,75,23.02
221,Lorengau,PG,2022-01-31 19:01:17,-2.0226,147.2712,78.21,90,100,14.43
222,Nanakuli,US,2022-01-31 19:01:20,21.3906,-158.1547,77.7,83,0,0.0
223,Tamandare,BR,2022-01-31 19:01:20,-8.7597,-35.1047,83.7,65,6,9.89
224,Hithadhoo,MV,2022-01-31 19:01:21,-0.6,73.0833,82.74,72,44,9.62
225,Kakamigahara,JP,2022-01-31 19:02:21,35.4167,136.8667,40.55,69,12,4.05
226,Kushima,JP,2022-01-31 19:02:22,31.4583,131.2333,36.12,72,85,8.68
227,San Ignacio,BZ,2022-01-31 19:02:22,17.1561,-89.0714,72.99,75,94,5.48
228,Bathsheba,BB,2022-01-31 19:02:23,13.2167,-59.5167,80.17,72,9,14.27
229,Trenggalek,ID,2022-01-31 19:02:23,-8.05,111.7167,75.25,91,100,3.15
230,Lata,PT,2022-01-31 19:02:24,40.1629,-8.3327,53.71,68,0,2.48
231,Weihe,CN,2022-01-31 19:02:24,32.9952,105.3247,30.94,92,97,1.81
232,Vysha,RU,2022-01-31 19:02:24,53.8477,42.3777,31.89,96,100,13.82
233,Juneau,US,2022-01-31 19:00:05,58.3019,-134.4197,26.22,93,91,4.25
234,Guozhen,CN,2022-01-31 19:00:03,34.3659,107.359,26.6,75,15,2.08
235,Bakchar,RU,2022-01-31 19:02:25,57.0186,82.0711,14.59,92,100,7.87
236,Tete,MZ,2022-01-31 19:02:26,-16.1564,33.5867,75.78,83,30,3.58
237,Auch,FR,2022-01-31 19:02:26,43.65,0.5833,46.31,92,21,3.0
238,Mazyr,BY,2022-01-31 19:02:27,52.0495,29.2456,27.14,90,100,14.27
239,Aykhal,RU,2022-01-31 19:02:27,66.0,111.5,-25.92,100,91,5.35
240,Tallahassee,US,2022-01-31 19:02:28,30.4383,-84.2807,69.1,38,40,1.01
241,Kapuskasing,CA,2022-01-31 19:02:03,49.4169,-82.4331,13.15,85,100,7.56
242,Severo-Kurilsk,RU,2022-01-31 19:02:28,50.6789,156.125,28.45,76,100,17.87
243,Kiboga,UG,2022-01-31 19:02:29,0.9161,31.7742,67.5,61,100,5.41
244,San Cristobal,VE,2022-01-31 19:02:29,7.7669,-72.225,85.51,36,94,2.15
245,Tambilil,PH,2022-01-31 19:02:30,5.9622,124.6697,78.53,81,100,3.06
246,Kishi,NG,2022-01-31 19:02:30,9.0833,3.85,80.17,10,100,5.82
247,Alice Springs,AU,2022-01-31 19:00:13,-23.7,133.8833,76.55,88,100,19.57
248,Eyl,SO,2022-01-31 19:02:31,7.9803,49.8164,76.95,81,7,16.67
249,Belmonte,BR,2022-01-31 19:02:32,-15.8631,-38.8828,84.38,68,81,11.92
250,Laki,BG,2022-01-31 19:02:32,41.85,24.8167,28.56,59,100,4.68
251,Tecoanapa,MX,2022-01-31 19:02:33,16.5167,-98.75,82.17,62,0,9.73
252,Narsaq,GL,2022-01-31 19:02:33,60.9167,-46.05,22.57,94,100,13.98
253,Iquitos,PE,2022-01-31 19:02:34,-3.7481,-73.2472,90.14,40,100,4.88
254,Kaitangata,NZ,2022-01-31 19:02:34,-46.2817,169.8464,57.27,92,18,2.71
255,Brae,GB,2022-01-31 19:02:35,60.3964,-1.353,40.91,69,100,14.09
256,Saint-Raymond,CA,2022-01-31 19:02:35,45.467,-73.6095,23.14,66,100,2.8
257,Langenzenn,DE,2022-01-31 19:02:36,49.5,10.8,37.76,86,75,8.99
258,Kungurtug,RU,2022-01-31 19:02:36,50.5994,97.5228,-19.84,99,42,1.57
