City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
245,nome,US,64.5011,-165.4064,10.47,53,0,31.07,clear sky
246,sri aman,MY,1.2376,111.4621,77.09,94,20,0.0,few clouds
247,hervey bay,AU,-25.2986,152.8535,85.03,81,100,5.01,overcast clouds
248,saint-pierre,RE,-21.3393,55.4781,80.28,83,75,34.52,light rain
249,tucuma,BR,-0.1833,-50.05,75.15,95,100,5.26,overcast clouds
250,uyuni,BO,-20.4597,-66.825,55.56,54,3,3.85,clear sky
251,abu samrah,SY,35.3029,37.1841,47.57,54,100,11.41,overcast clouds
252,longyearbyen,SJ,78.2186,15.6401,13.84,73,0,20.71,clear sky
253,sitka,US,57.0531,-135.33,39.09,93,100,5.75,mist
254,almonte,ES,37.2647,-6.5167,52.45,58,36,4.63,scattered clouds
255,port lincoln,AU,-34.7333,135.8667,65.19,58,75,15.64,broken clouds
256,colares,PT,38.7992,-9.4469,56.34,72,100,1.01,overcast clouds
257,karpogory,RU,64.0019,44.4451,12.92,98,100,1.81,overcast clouds
258,shambu,ET,9.5667,37.1,57.38,58,100,1.41,overcast clouds
259,santa cruz de la palma,ES,28.6835,-17.7642,68.14,88,75,9.22,broken clouds
260,kosh-agach,RU,50.0,88.6667,-20.76,99,92,2.86,overcast clouds
261,finschhafen,PG,-6.6024,147.8681,82.02,79,100,13.06,overcast clouds
262,cidreira,BR,-30.1811,-50.2056,75.49,86,5,18.97,clear sky
263,honiara,SB,-9.4333,159.95,82.02,84,100,6.42,overcast clouds
264,roebourne,AU,-20.7833,117.1333,86.52,59,55,12.84,broken clouds
265,tromso,NO,69.6496,18.957,15.82,79,0,5.75,clear sky
266,polyarnyy,RU,69.1989,33.4478,3.67,96,100,4.47,light snow
267,narsaq,GL,60.9167,-46.05,5.22,61,100,12.15,overcast clouds
268,xining,CN,36.6167,101.7667,11.35,62,6,1.97,clear sky
269,rochegda,RU,62.8,43.25,10.35,98,100,1.59,overcast clouds
270,san patricio,US,28.017,-97.5169,73.81,83,100,5.95,overcast clouds
271,luderitz,NA,-26.6481,15.1594,67.66,79,66,2.98,broken clouds
272,andenes,NO,69.3143,16.1194,22.98,63,5,18.41,clear sky
273,coquimbo,CL,-29.9533,-71.3436,63.5,82,6,5.48,clear sky
274,naze,JP,28.3667,129.4833,54.52,85,100,23.44,overcast clouds
275,aklavik,CA,68.2191,-135.0107,-23.8,76,40,3.44,scattered clouds
276,mujiayingzi,CN,42.1167,118.7833,7.92,64,0,5.48,clear sky
277,yerbogachen,RU,61.2767,108.0108,-3.33,99,99,4.21,overcast clouds
278,jamame,SO,0.0722,42.7506,77.14,87,100,9.51,overcast clouds
279,riyadh,SA,24.6877,46.7219,51.94,38,0,4.5,clear sky
280,lazarev,RU,52.225,141.5131,2.79,78,100,13.67,overcast clouds
281,calvinia,ZA,-31.4707,19.776,58.44,83,76,7.49,broken clouds
282,hirara,JP,24.8,125.2833,68.27,88,75,9.22,broken clouds
283,ballina,AU,-28.8667,153.5667,75.16,96,75,8.05,broken clouds
284,boden,SE,65.8252,21.6886,6.8,97,100,3.89,overcast clouds
285,ballater,GB,57.0493,-3.0402,49.3,86,100,7.78,overcast clouds
286,aguimes,ES,27.9054,-15.4461,68.67,60,20,17.27,few clouds
287,cianorte,BR,-23.6633,-52.605,71.74,96,29,5.14,scattered clouds
288,cooma,AU,-36.2333,149.1333,58.77,58,40,12.66,scattered clouds
289,skjervoy,NO,70.0311,20.9714,24.06,68,100,19.86,overcast clouds
290,tautira,PF,-17.7333,-149.15,89.62,78,24,20.2,light rain
291,kabankalan,PH,9.9889,122.8122,81.66,73,81,7.49,broken clouds
292,pravia,ES,43.4906,-6.1508,50.29,71,0,8.05,clear sky
293,najran,SA,17.4924,44.1277,54.25,41,71,1.9,broken clouds
294,quevedo,EC,-1.0333,-79.45,74.86,91,90,3.89,moderate rain
295,arraial do cabo,BR,-22.9661,-42.0278,75.25,88,100,4.25,overcast clouds
296,hailey,US,43.5196,-114.3153,14.9,71,0,5.75,clear sky
297,dhidhdhoo,MV,6.8833,73.1,81.14,68,22,8.55,few clouds
298,zastron,ZA,-30.3023,27.084,66.15,72,95,5.73,light rain
299,arman,RU,59.7,150.1667,12.36,79,100,10.85,overcast clouds
300,rabo de peixe,PT,37.8,-25.5833,58.28,94,20,6.91,few clouds
301,kieta,PG,-6.2167,155.6333,84.45,73,100,14.56,light rain
302,cockburn town,TC,21.4612,-71.1419,73.15,84,100,21.21,overcast clouds
303,kalmunai,LK,7.4167,81.8167,75.16,72,67,2.71,broken clouds
304,suoyarvi,RU,62.0833,32.35,-1.75,99,98,2.84,overcast clouds
305,ostersund,SE,63.1792,14.6357,7.25,85,20,2.3,few clouds
306,warrnambool,AU,-38.3833,142.4833,62.82,62,100,16.69,overcast clouds
307,takestan,IR,36.0696,49.6959,34.48,55,16,1.43,few clouds
308,santo tomas,PH,14.1079,121.1414,80.56,76,71,8.99,broken clouds
309,kirovskaya,RU,46.9748,40.0402,42.98,83,100,13.6,overcast clouds
310,tawala,PH,9.5542,123.7696,79.32,79,100,11.45,overcast clouds
311,naliya,IN,23.2667,68.8333,65.95,51,5,12.12,clear sky
312,majene,ID,-3.5403,118.9707,81.81,74,100,2.21,overcast clouds
313,port keats,AU,-14.25,129.55,85.42,68,90,12.41,overcast clouds
314,alice springs,AU,-23.7,133.8833,67.55,68,100,14.97,overcast clouds
315,mangrol,IN,21.1167,70.1167,71.28,83,72,13.35,broken clouds
316,port-gentil,GA,-0.7193,8.7815,79.68,81,100,10.83,moderate rain
317,homer,US,59.6425,-151.5483,32.77,82,0,5.75,clear sky
318,adrar,MR,20.5022,-10.0711,66.22,20,0,10.65,clear sky
319,lawrenceville,US,33.9562,-83.988,51.1,67,100,6.91,moderate rain
320,port blair,IN,11.6667,92.75,73.44,88,20,0.0,mist
321,cartagena,CO,10.3997,-75.5144,80.22,78,0,8.05,clear sky
322,guayaramerin,BO,-10.8368,-65.3614,73.26,95,40,3.04,scattered clouds
323,vera cruz,BR,-12.6333,-41.0333,70.27,76,0,3.15,clear sky
324,sola,VU,-13.8833,167.55,81.57,75,100,9.28,overcast clouds
325,waipawa,NZ,-41.4122,175.5153,72.23,58,100,11.77,overcast clouds
326,harper,LR,4.375,-7.7169,78.91,81,6,4.83,clear sky
327,ahipara,NZ,-35.1667,173.1667,76.35,63,67,14.52,broken clouds
328,ingham,US,42.6,-84.3833,25.9,92,100,9.22,light snow
329,naron,ES,43.5167,-8.1528,53.02,81,100,6.08,overcast clouds
330,nhulunbuy,AU,-12.2333,136.7667,86.61,74,75,11.5,broken clouds
331,touros,BR,-5.1989,-35.4608,81.5,76,47,11.92,scattered clouds
332,miyang,CN,24.4042,103.4428,42.66,92,100,2.59,overcast clouds
333,eenhana,NA,-17.4667,16.3333,70.21,45,39,9.13,scattered clouds
334,ambon,ID,-3.6954,128.1814,86.14,66,20,4.61,few clouds
335,gizo,SB,-8.103,156.8419,82.26,79,100,15.12,light rain
336,ryotsu,JP,38.0833,138.4333,35.56,81,100,5.88,overcast clouds
337,palmer,US,42.1584,-72.3287,40.73,79,100,0.0,overcast clouds
338,kalemie,CD,-5.9475,29.1947,68.95,90,100,1.01,overcast clouds
339,kjollefjord,NO,70.9457,27.3465,21.63,77,100,8.95,overcast clouds
340,carlsbad,US,33.1581,-117.3506,67.37,15,0,7.0,clear sky
341,quatre cocos,MU,-20.2078,57.7625,80.71,90,100,30.15,moderate rain
342,ratnagiri,IN,16.9833,73.3,67.46,81,5,5.7,clear sky
343,zonguldak,TR,41.25,31.8333,40.23,85,100,6.13,overcast clouds
344,bagdarin,RU,54.4333,113.6,-18.27,94,5,3.67,clear sky
345,sao miguel do iguacu,BR,-25.3481,-54.2378,85.21,66,0,5.75,clear sky
346,paamiut,GL,61.994,-49.6678,14.22,62,100,20.42,overcast clouds
347,muisne,EC,0.6,-80.0333,75.78,89,87,4.47,light rain
348,lipari,IT,38.4674,14.954,57.56,68,0,16.06,clear sky
349,azul,AR,-36.777,-59.8585,68.25,91,100,5.3,overcast clouds
350,katobu,ID,-4.9408,122.5276,82.89,70,100,2.3,overcast clouds
351,thap khlo,TH,16.16,100.5966,81.84,73,25,5.44,scattered clouds
352,tampakan,PH,6.4442,124.9264,74.91,85,100,2.21,overcast clouds
353,bontang,ID,0.1333,117.5,81.27,72,98,9.42,overcast clouds
354,alta floresta,BR,-9.8756,-56.0861,72.12,93,62,2.46,broken clouds
355,suluq,LY,31.6682,20.2521,50.65,71,49,10.92,scattered clouds
